343;成名在望;7.4;460;2000年09月13日;cheng ming zai wang;bi li  ke lu de pu,fu lan xi si  mai ke duo meng de,ka mei lun  ke luo;;一个毒品解放的年代;http://img.funshion.com/pictures/jupiter/000/343/343_m_poster.jpg?t=1459;http://img.funshion.com/pictures/jupiter/000/343/343_m_still.jpg?t=2456;比利·克鲁德普, 弗兰西斯·麦克多蒙德;卡梅伦·克罗;vipfree;1
345;城市猎人;7.4;887;1993年01月16日;cheng shi lie ren;cheng long,wang zu xian,qiu shu zhen,hou teng jiu mei zi,wang jing;;成龙COS街霸春丽;http://img.funshion.com/pictures/jupiter/000/345/345_m_poster.jpg?t=7167;http://img.funshion.com/pictures/jupiter/000/345/345_m_still.jpg?t=9279;成龙,王祖贤,邱淑贞,后藤久美子;王晶;free;1
349;拳王阿里;7.3;111;2001年12月11日;quan wang a li;wei er  shi mi si,mai ke er  man;;拳王阿里的传奇一生;http://img.funshion.com/pictures/jupiter/000/349/349_m_poster.jpg?t=4117;http://img.funshion.com/pictures/jupiter/000/349/349_m_still.jpg?t=4181;威尔·史密斯;迈克尔·曼;vipfree;1
352;赤裸特工;8.2;106749;2002年11月15日;chi luo te gong;li mei qi,wu yan zu,an ya,cheng xiao dong;Naked Weapon;性感女杀手情陷吴彦祖;http://img.funshion.com/pictures/jupiter/000/352/352_m_poster.jpg?t=6989;http://img.funshion.com/pictures/media/list/352/352_530_298_ott_still.jpg?1408589642;李美琪,吴彦祖,安雅;程小东;free;1
368;楚门的世界;7;567;1998年06月05日;chu men de shi jie;jin  kai rui,lao la  lin ni,ai de  ha li si,nuo ya  ai mo li qi,na ta sha  mai ke ai huo en,bi de  wei er;;金凯瑞影史完美个人秀;http://img.funshion.com/pictures/jupiter/000/368/368_m_poster.jpg?t=1213;http://img.funshion.com/pictures/jupiter/000/368/368_m_still.jpg?t=6997;金·凯瑞,劳拉·琳妮,艾德·哈里斯,诺亚·艾默里奇,娜塔莎· 麦克艾霍恩;彼得·威尔;free;1
394;大白鲨;6.5;906;1975年06月20日;da bai sha;luo yi sha yi de er,luo bo te xiao,li zha de de lai fu si,luo lan jia li,mo rui han mi er dun,shi di wen si pi er bo ge;;斯皮尔伯格成名作品;http://img.funshion.com/pictures/jupiter/000/394/394_m_poster.jpg?t=2968;http://img.funshion.com/pictures/jupiter/000/394/394_m_still.jpg?t=1138;罗伊·沙伊德尔,罗伯特·肖,理查德·德莱弗斯,洛兰·加里,莫瑞·汉密尔顿;史蒂文·斯皮尔伯格;free;1
396;兵临城下;6.9;4365;2001年03月16日;bing lin cheng xia;qiu de  luo,ai de  ha li si,lei qie er  wei zi,yue se fu  fei yin si,rang  ya ke  a nuo;;狙击手令德军尸横遍野;http://img.funshion.com/pictures/jupiter/000/396/396_m_poster.jpg?t=7976;http://img.funshion.com/pictures/jupiter/000/396/396_m_still.jpg?t=6386;裘德·洛 ,艾德·哈里斯,蕾切尔·薇兹,约瑟夫·费因斯;让·雅克·阿诺;vipfree;1
400;驱魔人前传;6.5;557;2004年08月20日;qu mo ren qian chuan;si te lan  si ka si jia de,yi sha bei la  si ke lu pu ke,zhan mu si  da xi,lei ni  ha lin;;迷失恐惧皆源于人心;http://img.funshion.com/pictures/jupiter/000/400/400_m_poster.jpg?t=5023;http://img.funshion.com/pictures/jupiter/000/400/400_m_still.jpg?t=2236;斯特兰·斯卡斯加德,伊沙贝拉·斯科鲁普科,詹姆斯·达西;雷尼·哈林;free;1
406;大话王;7.2;570;1997年03月21日;da hua wang;jin  kai rui,tang mu  sha di ya ke;;撒谎成性变成实话大王;http://img.funshion.com/pictures/jupiter/000/406/406_m_poster.jpg?t=6740;http://img.funshion.com/pictures/jupiter/000/406/406_m_still.jpg?t=6041;金·凯瑞;汤姆·沙迪亚克;free;1
418;大内密探零零发;7.2;7288;1996年02月16日;da nei mi tan ling ling fa;zhou xing chi,liu jia ling,li ruo tong,luo jia ying,zhang da ming,gu de zhao,zhou xing chi;鹿鼎大帝;周星驰上演无厘头喜剧;http://img.funshion.com/pictures/jupiter/000/418/418_m_poster.jpg?t=8150;http://img.funshion.com/pictures/jupiter/000/418/418_m_still.jpg?t=1888;周星驰,刘嘉玲,李若彤,罗家英,张达明;谷德昭,周星驰;free;1
424;大腕;7;6935;2001年12月21日;da wan;ge you,guan zhi lin,ying da,feng xiao gang;;冯小刚2002贺岁片;http://img.funshion.com/pictures/jupiter/000/424/424_m_poster.jpg?t=3288;http://img.funshion.com/pictures/jupiter/000/424/424_m_still.jpg?t=9646;葛优,关之琳,英达;冯小刚;free;1
431;呆呆向前冲;6.8;319;1998年11月06日;dai dai xiang qian chong;ya dang sang de le,kai xi bei ci,fu lan ke ke la si;水孩,水壶出英雄;送水工遇伯乐成球星;http://img.funshion.com/pictures/jupiter/000/431/431_m_poster.jpg?t=7324;http://img.funshion.com/pictures/jupiter/000/431/431_m_still.jpg?t=7406;亚当·桑德勒,凯西·贝茨;弗兰克·克拉斯;free;1
448;刀锋战士;7.1;148;1998年08月21日;dao feng zhan shi;wei si li  si nai pu si,si di fen  duo er fu,ke li si  ke li si tuo fo sen,si di fen  nuo lin dun;幽灵刺客,刀锋;幽灵刺客VS冥灵魅鬼;http://img.funshion.com/pictures/jupiter/000/448/448_m_poster.jpg?t=3605;http://img.funshion.com/pictures/jupiter/000/448/448_m_still.jpg?t=4982;韦斯利·斯奈普斯,斯蒂芬·多尔夫,克里斯·克里斯托佛森;斯蒂芬·诺林顿;vipfree;1
449;刀锋战士2;7.6;82285;2002年03月22日;dao feng zhan shi 2;wei si li  si nai pu si,ke li si  ke li si tuo fo sen  lang  pu er man  lei ao na  wei ai la  nuo man  rui du si  tuo ma si  ke lai shu man  zhen zi dan,ji er mo  de er  tuo luo;;甄子丹加盟吸血鬼大片;http://img.funshion.com/pictures/jupiter/000/449/449_m_poster.jpg?t=3483;http://img.funshion.com/pictures/jupiter/000/449/449_m_still.jpg?t=2281;韦斯利·斯奈普斯,克里斯·克里斯托佛森,朗·普尔曼,蕾奥娜·维埃拉,诺曼·瑞杜斯,托马斯·克莱舒曼,甄子丹;吉尔莫·德尔·托罗;vipfree;1
